     -2.00000000      8.01560970     18.00694288     28.00446356     38.00328881     48.00260343     58.00215431     68.00183724     78.00160143     88.00141918     98.00127409    108.00115584    118.00105760    128.00097470    138.00090378    148.00084243    158.00078883    168.00074159    178.00069964    188.00066214    198.00062841    208.00059791
     -1.99000000      7.97578779     17.96705830     27.96456993     37.96339227     47.96270559     57.96225580     67.96193832     77.96170225     87.96151982     97.96137461    107.96125627    117.96115796    127.96107500    137.96100405    147.96094266    157.96088903    167.96084176    177.96079980    187.96076228    197.96072853    207.96069802
     -1.98000000      7.93616627     17.92737371     27.92487628     37.92369572     47.92300775     57.92255728     67.92223940     77.92200307     87.92182046     97.92167512    107.92155669    117.92145832    127.92137531    137.92130431    147.92124289    157.92118923    167.92114194    177.92109995    187.92106242    197.92102866    207.92099814
     -1.97000000      7.89674513     17.88788911     27.88538263     37.88419915     47.88350991     57.88305875     67.88274047     77.88250388     87.88232110     97.88217564    107.88205712    117.88195868    127.88187561    137.88180457    147.88174311    157.88168943    167.88164212    177.88160011    187.88156256    197.88152879    207.88149825
     -1.96000000      7.85752438     17.84860450     27.84608895     37.84490258     47.84421205     57.84376022     67.84344154     77.84320469     87.84302174     97.84287615    107.84275754    117.84265903    127.84257591    137.84250483    147.84244334    157.84238963    167.84234229    177.84230027    187.84226270    197.84222892    207.84219837
     -1.95000000      7.81850402     17.80951988     27.80699527     37.80580600     47.80511419     57.80466168     67.80434260     77.80410550     87.80392238     97.80377667    107.80365796    117.80355938    127.80347621    137.80340509    147.80334356    157.80328982    167.80324247    177.80320042    187.80316284    197.80312904    207.80309848
     -1.94000000      7.77968405     17.77063525     27.76810157     37.76690940     47.76621632     57.76576314     67.76544366     77.76520631     87.76502301     97.76487718    107.76475838    117.76465974    127.76457651    137.76450534    147.76444379    157.76439002    167.76434264    177.76430058    187.76426298    197.76422917    207.76419859
     -1.93000000      7.74106446     17.73195061     27.72940785     37.72821280     47.72751844     57.72706459     67.72674471     77.72650711     87.72632364     97.72617768    107.72605880    117.72596009    127.72587681    137.72580560    147.72574401    157.72569021    167.72564281    177.72560073    187.72556312    197.72552929    207.72549871
     -1.92000000      7.70264525     17.69346595     27.69091412     37.68971619     47.68902056     57.68856604     67.68824577     77.68800791     87.68782426     97.68767819    107.68755921    117.68746043    127.68737710    137.68730585    147.68724423    157.68719041    167.68714299    177.68710088    187.68706325    197.68702941    207.68699882
     -1.91000000      7.66442644     17.65518128     27.65262037     37.65141956     47.65072266     57.65026748     67.64994681     77.64970870     87.64952489     97.64937869    107.64925963    117.64916078    127.64907740    137.64900611    147.64894445    157.64889060    167.64884316    177.64880104    187.64876339    197.64872954    207.64869893
     -1.90000000      7.62640800     17.61709659     27.61452661     37.61332292     47.61262476     57.61216891     67.61184785     77.61160949     87.61142551     97.61127919    107.61116004    117.61106112    127.61097769    137.61090636    147.61084467    157.61079079    167.61074333    177.61070119    187.61066353    197.61062966    207.61059904
     -1.89000000      7.58858995     17.57921190     27.57663283     37.57542628     47.57472686     57.57427034     67.57394889     77.57371028     87.57352613     97.57337969    107.57326045    117.57316147    127.57307798    137.57300661    147.57294489    157.57289099    167.57284350    177.57280134    187.57276366    197.57272978    207.57269915
     -1.88000000      7.55097228     17.54152718     27.53893904     37.53772962     47.53702894     57.53657176     67.53624992     77.53601106     87.53582674     97.53568019    107.53556086    117.53546181    127.53537827    137.53530686    147.53524511    157.53519118    167.53514367    177.53510149    187.53506380    197.53502990    207.53499926
     -1.87000000      7.51355499     17.50404245     27.50144523     37.50023295     47.49953102     57.49907318     67.49875095     77.49851184     87.49832735     97.49818068    107.49806126    117.49796215    127.49787856    137.49780711    147.49774532    157.49769137    167.49764383    177.49760164    187.49756393    197.49753003    207.49749937
     -1.86000000      7.47633809     17.46675771     27.46415140     37.46293627     47.46223309     57.46177459     67.46145198     77.46121262     87.46102796     97.46088117    107.46076167    117.46066249    127.46057885    137.46050736    147.46044554    157.46039155    167.46034400    177.46030179    187.46026406    197.46023015    207.46019948
     -1.85000000      7.43932156     17.42967294     27.42705756     37.42583958     47.42513515     57.42467600     67.42435300     77.42411340     87.42392857     97.42378166    107.42366207    117.42356283    127.42347913    137.42340760    147.42334575    157.42329174    167.42324417    177.42320194    187.42316420    197.42313027    207.42309959
     -1.84000000      7.40250542     17.39278816     27.39016370     37.38894288     47.38823720     57.38777740     67.38745401     77.38721417     87.38702918     97.38688215    107.38676247    117.38666316    127.38657942    137.38650785    147.38644597    157.38639193    167.38634433    177.38630208    187.38626433    197.38623038    207.38619970
     -1.83000000      7.36588965     17.35610336     27.35346983     37.35224616     47.35153925     57.35107879     67.35075503     77.35051493     87.35032978     97.35018263    107.35006287    117.34996350    127.34987970    137.34980809    147.34974618    157.34969212    167.34964450    177.34960223    187.34956446    197.34953050    207.34949981
     -1.82000000      7.32947426     17.31961854     27.31697593     37.31574944     47.31504128     57.31458018     67.31425603     77.31401570     87.31383038     97.31368311    107.31356327    117.31346383    127.31337999    137.31330833    147.31324639    157.31319230    167.31314466    177.31310238    187.31306459    197.31303062    207.31299991
     -1.81000000      7.29325924     17.28333371     27.28068202     37.27945270     47.27874331     57.27828157     67.27795704     77.27771646     87.27753097     97.27738359    107.27726366    117.27716416    127.27708027    137.27700857    147.27694660    157.27689248    167.27684482    177.27680252    187.27676472    197.27673074    207.27670002
